B01REC;B03LU;B03MA;B03MI;B03JU;B03VI;B03SA;B03DO;B07A;B12;B16T;B26;E01A;E01B;E01C;E01H;ED01;ED02;ED03;ED0504;ED06C;ED08;ED10;e01aimde;e01hde;pobrezai;pobnopoi
2;6;6;0;0;6;6;6;15;1;5187000;1;5187000;4216000;0;0;2;1;1;2404;1;19;2;5187000;0;3;0
3;12;0;0;0;0;12;0;10;1;3528000;1;3528000;0;0;0;2;1;1;2404;1;19;5;3528000;0;3;0
9;8;8;0;0;8;8;8;20;6;2600000;4;2600000;0;0;0;2;1;1;502; ;19;1;2600000;0;3;0
4;10;10;0;5;10;10;10;7;2;2500000;4;2500000;0;0;0;2;1;1;903; ;19;2;2500000;0;3;0
9;5;5;0;5;5;0;0;25;6;800000;4;800000;0;0;0;2;1;1;306; ;19;1;800000;0;3;0
7;8;8;0;0;8;8;8;1;2;2000000;4;2000000;0;0;0;2;1;1;903; ;19;1;2000000;0;3;0
7;8;8;0;0;8;8;8;3;2;2860000;4;2860000;0;0;0;2;1;1;903; ;19;2;2860000;0;3;0
3;8;8;0;0;8;8;8;12;2;4000000;1;4000000;0;0;0;3;1;1;2402;14;19;2;4000000;0;3;0
3;9;0;0;9;9;9;9;1;2;3000000;1;3000000;0;0;0;3;1;1;2405;1;19;2;3014139,827;0;3;0
4;6;0;0;6;6;6;6;15;1;3500000;1;3500000;0;0;0;2;1;1;2405;14;19;1;3516496,465;0;3;0
3;6;0;0;6;6;6;6;10;1;3000000;1;3000000;0;0;0;3;1;1;903; ;19;1;3014139,827;0;3;0
2;0;0;0;12;12;0;0;25;1;10000000;1;10000000;12000000;15000000;0;3;1;1;2406;10;19;2;10047132,76;0;3;0
2;5;0;0;0;0;5;5;15;1;8000000;1;8000000;5000000;12000000;0;3;1;1;2406;10;19;2;8037706,206;0;3;0
1;7;7;7;0;0;7;7;15;2;8000000;1;8000000;0;0;0;3;1;1;2405;1;19;2;8000000;0;3;0
2;6;6;6;0;0;6;6;15;1;3000000;1;3000000;4000000;0;0;3;1;1;2404;14;19;2;3000000;0;3;0
3;8;8;8;0;0;8;8;10;2;1500000;1;1500000;0;0;0;3;1;1;2103;2;19;2;1500000;0;3;0
4;9;0;0;8;8;10;10;0;2;2460000;1;2460000;0;0;0;3;1;1;2401;14;19;1;2471594,658;0;3;0
4;6;6;6;6;0;6;6;0;2;1921000;3;1921000;0;0;0;3;1;1;2401;14;19;1;1930054,203;0;3;0
1;0;0;0;0;0;0;0;0;1;3100000;1;3100000;0;0;0;3;1;1;2402;14;19;14;3114611,155;0;3;0
3;6;0;0;6;6;6;6;5;1;2930000;3;2930000;0;0;0;3;1;1;2402;14;19;1;2943809,898;0;2;1
4;8;8;8;8;8;0;8;0;2;3500000;3;3500000;0;0;0;3;1;1;1003; ;19;2;3516496,465;0;3;0
5;8;0;0;8;8;8;8;10;2;2500000;4;3270000;0;0;0;3;1;1;2405;1;19;2;3285412,412;0;3;0
5;8;5;5;8;8;8;8;6;2;1800000;4;1800000;0;0;0;2;1;1;2002;7;19;2;1808483,896;0;3;0
3;8;0;5;8;8;8;8;3;2;2700000;1;2700000;0;0;0;2;1;1;2405;1;19;1;2712725,844;0;3;0
2;5;0;0;5;5;5;5;4;1;2720000;1;2720000;0;0;0;2;1;1;2404;1;19;2;2711519,875;0;3;0
9;8;0;5;8;8;8;8;0;2;1900000;3;1900000;0;0;0;3;1;1;901; ;19;1;1894076,383;0;3;0
3;7;0;7;8;8;8;8;12;2;4000000;1;4000000;0;0;0;3;1;1;903; ;19;2;3987529,228;0;3;0
9;6;6;6;6;6;6;6;10;1;2500000;1;2500000;500000;0;0;3;1;1;503; ;19;1;2492205,768;0;3;0
8;6;6;6;6;6;6;6;13;1;2500000;1;2500000;0;0;0;3;1;1;606; ;19;1;2492205,768;0;3;0
3;6;6;6;6;6;6;6;4;2;2500000;3;2500000;0;0;0;3;1;1;2401;14;19;3;2492205,768;0;3;0
3;6;0;0;6;6;6;6;8;1;3500000;1;3800000;0;0;0;2;1;1;2402;14;19;3;3788152,767;0;3;0
3;8;0;0;8;8;8;8;10;1;2500000;3;2500000;0;0;0;2;1;1;2402;14;19;3;2492205,768;0;3;0
3;8;0;0;8;8;8;8;14;1;3000000;1;3000000;0;0;0;3;1;1;2002;7;19;16;2990646,921;0;3;0
8;12;12;12;12;12;12;12;12;2;2500000;4;3130000;0;0;0;3;1;1;706; ;19;2;3130000;0;3;0
4;10;10;0;9;10;10;10;4;2;2200000;1;2590000;0;0;0;2;1;1;606; ;19;1;2590000;0;3;0
5;7;7;0;0;7;7;7;7;2;2200000;1;2500000;0;0;0;2;1;1;606; ;19;2;2500000;0;3;0
7;1;1;1;1;1;1;1;0;2;1400000;4;1400000;0;0;0;2;1;1;407; ;19;1;1400000;0;2;1
9;8;8;0;8;8;8;0;24;6;2600000;4;2930000;0;0;0;3;1;1;306; ;19;1;2930000;0;3;0
5;8;8;0;12;8;8;8;0;2;2200000;3;2200000;0;0;0;2;1;1;1302; ;19;8;2200000;0;3;0
5;0;0;0;0;0;0;0;1;2;1471320;3;1898835;400000;0;0;3;1;1;903; ;19;14;1916819,23;0;3;0
7;9;9;0;0;9;9;9;10;2;3000000;4;3000000;0;0;0;3;1;1;903; ;19;1;3028413,575;0;3;0
5;9;9;0;9;9;9;9;5;2;2550000;1;2550000;0;0;0;3;1;1;2404;14;19;3;2574151,539;0;3;0
2;4,3;4,3;0;0;4,3;4,3;4,3;7;2;1620000;1;1620000;0;0;0;3;1;1;2103;2;19;2;1635343,331;0;3;0
7;10;10;0;0;10;10;10;16;2;3000000;4;3000000;0;0;0;2;1;1;903; ;19;2;3028413,575;0;3;0
9;8;8;0;8;8;8;8;2;2;2000000;4;2000000;0;0;0;2;1;1;303; ;19;6;2018942,384;0;3;0
2;6;6;0;0;6;6;6;4;1;3500000;3;3830000;0;0;0;2;1;1;2404;1;19;2;3773936,826;0;3;0
7;10;10;0;10;10;10;10;10;2;2400000;4;2400000;0;0;0;1;1;1;306; ;19;2;2364869,029;0;3;0
7;10;10;0;10;10;10;10;1;2;2200000;4;2200000;0;0;0;2;1;1;409; ;19;2;2167796,61;0;3;0
9;9;9;0;6;9;9;9;3;2;1600000;4;1600000;0;0;0;1;1;1;409; ;19;15;1576579,353;0;3;0
9;12;12;0;12;12;12;12;2;2;2400000;4;2400000;0;0;0;2;1;1;409; ;19;15;2364869,029;0;3;0
9;10,3;10,3;0;0;10,3;10,3;10,3;5;6;1200000;4;1700000;0;0;0;3;1;1;606; ;19;1;1675115,562;0;2;1
9;0;0;0;0;8;8;8;0;2;800000;4;800000;0;0;0;3;1;1;903; ;19;1;788289,676;0;2;1
4;8;8;8;8;8;0;8;0;2;2000000;3;2000000;0;0;0;3;1;1;903; ;19;2;1970724,191;0;2;1
1;6;6;6;6;6;6;6;6;1;3100000;1;3100000;0;0;0;3;1;1;2002;7;19;1;3054622,496;0;2;1
4;8;8;6;8;0;8;6;5;2;2500000;1;3436000;0;0;0;2;1;1;903; ;19;2;3385704,16;0;2;1
5;8;8;0;6;8;8;8;25;2;2000000;4;2000000;0;0;0;3;1;1;2403;14;19;14;1970724,191;0;3;0
4;8;8;0;0;8;8;8;1;1;2340000;3;2340000;0;0;0;3;1;1;606; ;19;2;2305747,304;0;2;1
5;8;0;8;8;8;8;8;3;2;2680373;4;2680373;0;0;0;2;1;1;903; ;19;2;2684570,922;0;3;0
4;8;0;8;8;8;8;8;12;2;2680373;3;2680373;0;0;0;2;1;1;903; ;19;2;2684570,922;0;3;0
5;8;0;8;8;8;8;8;5;2;2600000;3;2600000;0;0;0;3;1;1;903; ;19;2;2604072,044;0;3;0
9;0;6;6;6;6;6;6;12;2;1500000;4;1500000;0;0;0;2;1;1;903; ;19;2;1502349,256;0;3;0
5;0;6;6;6;6;6;6;8;2;700000;4;700000;0;0;0;3;1;1;902; ;19;2;701096,319;0;3;0
8;12;0;12;12;12;12;12;2;2;5000000;3;5000000;0;0;0;3;1;1;1003; ;19;2;5007830,854;0;3;0
5;9;0;9;9;9;9;9;3;2;2600000;3;2600000;0;0;0;3;1;1;903; ;19;1;2604072,044;0;3;0
5;9;0;9;9;9;9;9;2;2;2600000;3;2600000;2400000;0;0;3;1;1;903; ;19;1;2604072,044;0;3;0
9;6;0;6;6;6;6;6;2;1;2600000;3;2600000;0;0;0;2;1;1;606; ;19;2;2604072,044;0;3;0
9;9;0;0;9;9;10;9;0;2;2300000;3;3300000;0;0;0;2;1;1;1002; ;19;2;3305168,363;0;3;0
7;6;0;0;6;6;6;6;1;2;1500000;4;1500000;0;0;0;1;1;1;903; ;19;1;1502349,256;0;3;0
5;8;12;12;0;6;0;0;0;6;1200000;4;1800000;0;0;0;1;1;1;305; ;19;14;1802819,107;0;2;1
2;8;8;0;0;8;8;8;21;1;2500000;1;2500000;0;0;0;2;1;1;2103;3;19;2;2501956,182;0;3;0
9;10;10;10;10;10;10;10;0;2;1000000;4;1750000;0;0;0;2;1;1;606; ;19;2;1751369,327;0;2;1
4;6;6;0;0;6;6;6;24;1;2200000;1;2200000;0;0;0;2;1;1;2406;14;19;1;2201721,44;0;3;0
4;9;0;9;9;9;9;9;1;2;2320000;1;2320000;0;0;0;3;1;1;2402;14;19;1;2321815,336;0;3;0
2;6;6;0;0;6;6;6;10;1;2320000;1;2320000;0;0;0;2;1;1;2404;1;19;2;2321815,336;0;3;0
2;0;0;0;0;0;0;0;4;2;1800000;4;1800000;0;0;0;3;1;1;2405;14;19;1;1808483,896;0;3;0
1;8;8;0;4;8;8;8;2;2;4000000;2;4000000;0;0;0;3;1;1;2405;14;19;2;4018853,103;0;3;0
9;10;10;0;0;10;10;10;3;2;2550000;3;2550000;0;0;0;3;1;1;903; ;19;2;2562018,853;0;3;0
5;8;8;8;8;8;8;0;10;2;2500000;1;2950000;0;0;0;2;1;1;2404;1;19;14;2906818,182;0;3;0
9;0;0;0;0;10;0;0;2;2;1280000;4;1280000;9500000;0;0;2;1;1;306; ;19;1;1261263,482;0;3;0
3;0;8;8;8;8;8;8;3;2;2600000;4;2600000;0;0;0;3;1;1;606; ;19;1;2561941,448;0;3;0
9;0;0;6;6;6;6;6;3;2;1500000;4;1500000;0;0;0;3;1;1;1603; ;19;1;1478043,143;0;3;0
9;0;5;0;5;5;5;8;2;2;2500000;2;2716000;0;0;0;3;1;1;606; ;19;14;2676243,451;0;3;0
3;0;0;8;8;8;8;8;5;2;4800000;1;4800000;0;0;0;3;1;1;2404;1;19;5;4729738,059;0;3;0
2;0;0;0;5;8;8;8;2;2;5000000;1;8416000;0;0;0;3;1;1;2406;1;19;2;8292807,396;0;3;0
9;6;6;6;6;6;6;6;24;1;4000000;1;6000000;1000000;900000;0;3;1;1;606; ;19;2;5912172,573;0;3;0
8;0;0;8;8;8;8;8;7;2;2400000;1;2700000;0;0;0;3;1;1;2402;14;19;14;2660477,658;0;3;0
4;6;6;0;0;6;6;6;5;1;2900000;1;2900000;800000;0;0;3;1;1;2402;14;19;1;2866383,308;0;3;0
4;8;8;0;0;8;8;8;1;2;2680000;3;2680000;0;0;0;3;1;1;2403;14;19;14;2648933,539;0;3;0
9;0;7;0;0;0;0;0;29;6;1200000;4;1200000;0;0;0;2;1;1;503; ;19;2;1186089,645;0;2;1
9;8;8;0;0;8;8;8;9;6;1500000;4;2300000;0;0;0;3;1;1;901; ;19;15;2273338,485;0;3;0
1;9;9;0;0;9;9;9;0;2;7000000;1;7000000;0;0;0;3;1;1;2404;1;19;2;6918856,26;0;3;0
7;8;8;0;0;8;8;8;5;2;2500000;4;2500000;0;0;0;2;1;1;606; ;19;1;2471020,093;0;3;0
1;6;0;0;6;6;6;6;10;1;3500000;1;3500000;2000000;0;0;2;1;1;606; ;19;3;3516496,465;0;3;0
1;8;0;0;8;8;8;8;12;1;5000000;1;5000000;0;0;0;2;1;1;2404;1;19;3;5023566,379;0;3;0
3;6;0;0;6;6;6;6;6;1;3500000;1;3500000;0;0;0;2;1;1;903; ;19;2;3516496,465;0;3;0
5;8;0;8;8;8;8;8;5;2;3000000;1;4500000;0;0;0;2;1;1;2405;1;19;3;4521209,741;0;3;0
9;6;0;0;6;0;6;0;6;6;1200000;4;1200000;0;0;0;2;1;1;409; ;19;15;1205655,931;0;3;0
4;9;0;9;9;9;9;9;0;2;2500000;3;3140000;0;0;0;3;1;1;2402;14;19;14;3154799,686;0;3;0
1;8;0;0;8;8;8;8;5;2;2500000;1;2680000;0;0;0;2;1;1;606; ;19;3;2692631,579;0;3;0
5;8;8;8;8;8;8;8;5;2;2200000;1;2200000;0;0;0;2;1;1;606; ;19;3;2210369,207;0;3;0
3;6;6;0;6;6;0;0;22;1;4500000;1;4500000;0;0;0;3;1;1;2404;1;19;2;4521209,741;0;3;0
9;10;0;0;10;10;10;10;10;2;2300000;1;2300000;0;0;0;2;1;1;606; ;19;2;2310840,534;0;3;0
5;10;0;10;10;10;10;10;6;2;2300000;1;2300000;0;0;0;2;1;1;903; ;19;2;2310840,534;0;3;0
